,公司全称,英文名称,A股代码,A股简称,A股上市日期,省    份,城     市,所属行业,公司网址
szA_000520,长航凤凰股份有限公司,"Chang Jiang Shipping Group Phoenix Co.,Ltd",000520,长航凤凰,1993-10-25,湖北,武汉市,G 运输仓储,www.csc-hy.com.cn
szA_000521,合肥美菱股份有限公司,"HEFEI MEILING CO.,LTD.",000521,美菱电器,1993-10-18,安徽,合肥市,C 制造业,www.meiling.com
szA_000523,广州市浪奇实业股份有限公司,"LONKEY INDUSTRIAL CO.,LTD. GUANGZHOU",000523,广州浪奇,1993-11-08,广东,广州市,C 制造业,www.lonkey.com.cn
szA_000524,广州岭南集团控股股份有限公司,Guangzhou Lingnan Group Holdings Company Limited,000524,岭南控股,1993-11-18,广东,广州市,H 住宿餐饮,www.hoteldongfang.com
szA_000525,南京红太阳股份有限公司,"NANJING RED SUN CO., LTD",000525,红 太 阳,1993-10-28,江苏,南京市,C 制造业,
szA_000526,厦门紫光学大股份有限公司,"XIAMEN UNIGROUP XUE CO.,LTD.",000526,*ST紫学,1993-11-01,福建,厦门市,P 教育,
szA_000528,广西柳工机械股份有限公司,"GUANGXI LIUGONG MACHINERY CO., LTD",000528,柳    工,1993-11-18,广西,柳州市,C 制造业,www.liugong.com
szA_000529,广东广弘控股股份有限公司,"GUANGDONG GUANGHONG HOLDINGS CO.,LTD.",000529,广弘控股,1993-11-18,广东,广州市,C 制造业,www.ghkg000529.com
szA_000530,大连冷冻机股份有限公司,"DALIAN REFRIGERATION CO., LTD",000530,大冷股份,1993-12-08,辽宁,大连市,C 制造业,www.daleng.cn
szA_000531,广州恒运企业集团股份有限公司,"GUANGZHOU HENGYUN ENTERPRISES HOLDING CO.,LTD",000531,穗恒运Ａ,1994-01-06,广东,广州市,D 水电煤气,www.hengyun.com.cn
szA_000532,珠海华金资本股份有限公司,"Zhuhai Huajin Capital Co., Ltd.",000532,华金资本,1994-01-03,广东,珠海市,S 综合,www.huajinct.com
szA_000533,广东万家乐股份有限公司,"GUANGDONG MACRO CO.,LTD",000533,万 家 乐,1994-01-03,广东,佛山市,C 制造业,www.macro.com.cn
szA_000534,万泽实业股份有限公司,"WEDGE INDUSTRIAL CO.,LTD.",000534,万泽股份,1994-01-10,广东,汕头市,K 房地产,
szA_000536,华映科技（集团）股份有限公司,"CPT TECHNOLOGY (GROUP) CO., LTD",000536,华映科技,1993-11-26,福建,福州市,C 制造业,www.cpttg.com
szA_000537,天津广宇发展股份有限公司,"TIANJIN GUANGYU DEVELOPMENT CO., LTD",000537,广宇发展,1993-12-10,天津,天津市,K 房地产,www.gyfz000537.com
szA_000538,云南白药集团股份有限公司,"YUNNAN BAIYAO GROUP CO.,LTD.",000538,云南白药,1993-12-15,云南,昆明市,C 制造业,www.yunnanbaiyao.com.cn
szA_000539,广东电力发展股份有限公司,"GUANGDONG ELECTRIC POWER DEVELOPMENT CO., LTD",000539,粤电力Ａ,1993-11-26,广东,广州市,D 水电煤气,www.ged.com.cn
szA_000540,中天金融集团股份有限公司,Zhongtian Financial Group Company Limited,000540,中天金融,1994-02-02,贵州,贵阳市,K 房地产,www.ztcn.cn
szA_000541,佛山电器照明股份有限公司,"FOSHAN ELECTRICAL AND LIGHTING CO., LTD",000541,佛山照明,1993-11-23,广东,佛山市,C 制造业,www.Chinafsl.Com
szA_000543,安徽省皖能股份有限公司,"AN HUI WENERGY CO.,LTD",000543,皖能电力,1993-12-20,安徽,合肥市,D 水电煤气,www.wenergy.cn
szA_000544,中原环保股份有限公司,"CENTRAL PLAINS ENVIRONMENT PROTECTION CO.,LTD",000544,中原环保,1993-12-08,河南,郑州市,D 水电煤气,www.cpepgc.com
szA_000545,金浦钛业股份有限公司,"GPRO TITANIUM INDUSTRY  CO.,LTD",000545,金浦钛业,1993-12-15,吉林,吉林市,C 制造业,
szA_000546,金圆水泥股份有限公司,"Jinyuan Cement Co.,Ltd",000546,金圆股份,1993-12-15,吉林,长春市,C 制造业,
szA_000547,航天工业发展股份有限公司,Addsino Co.，Ltd,000547,航天发展,1993-11-30,福建,福州市,C 制造业,http://www.szxrjt.com
szA_000548,湖南投资集团股份有限公司,"HUNAN INVESTMENT GROUP CO.,LTD",000548,湖南投资,1993-12-20,湖南,长沙市,G 运输仓储,www.hntz.com.cn
szA_000550,江铃汽车股份有限公司,"JIANGLING MOTORS CO., LTD",000550,江铃汽车,1993-12-01,江西,南昌市,C 制造业,www.jmc.com.cn
szA_000551,创元科技股份有限公司,"CREATE TECHNOLOGY & SCIENCE CO.,LTD",000551,创元科技,1994-01-06,江苏,苏州市,S 综合,www.000551.cn
szA_000552,甘肃靖远煤电股份有限公司,"GANSU JINGYUAN COAL INDUSTRY AND ELECTRICITY POWER CO., LTD",000552,靖远煤电,1994-01-06,甘肃,白银市,B 采矿业,
szA_000553,湖北沙隆达股份有限公司,"HUBEI SANONDA CO., LTD",000553,沙隆达Ａ,1993-12-03,湖北,荆州市,C 制造业,www.sanonda.cn
szA_000554,中国石化山东泰山石油股份有限公司,"SINOPEC SHANDONG TAISHAN PETROLEUM CO.,LTD.",000554,泰山石油,1993-12-15,山东,泰安市,F 批发零售,
szA_000555,神州数码信息服务股份有限公司,Digital China Information Service Company Ltd.,000555,神州信息,1994-04-08,广东,深圳市,I 信息技术,www.dcits.com
szA_000557,宁夏西部创业实业股份有限公司,"Ningxia Western Venture Industrial Co., Ltd.",000557,西部创业,1994-06-17,宁夏,银川市,G 运输仓储,
szA_000558,莱茵达体育发展股份有限公司,"LANDER SPORTS DEVELOPMENT  CO.,LTD",000558,莱茵体育,1994-05-09,浙江,杭州市,K 房地产,www.lander.com.cn
szA_000559,万向钱潮股份有限公司,"WANXIANG QIANCHAO CO.,LTD",000559,万向钱潮,1994-01-10,浙江,杭州市,C 制造业,www.wxqc.com.cn
szA_000560,昆明百货大楼(集团)股份有限公司,"KUNMING SINOBRIGHT(GROUP) CO.,LTD.",000560,昆百大Ａ,1994-02-02,云南,昆明市,F 批发零售,000560.kunbuy.com
szA_000561,陕西烽火电子股份有限公司,"Shaanxi Fenghuo Electronics Co., Ltd.",000561,烽火电子,1994-05-09,陕西,宝鸡市,C 制造业,www.fenghuo.cn
szA_000563,陕西省国际信托股份有限公司,"SHAANXI INTERNATIONAL TRUST CO.,LTD.",000563,陕国投Ａ,1994-01-10,陕西,西安市,J 金融业,www.siti.com.cn
szA_000564,供销大集集团股份有限公司,"CCOOP GROUP CO.,LTD",000564,供销大集,1994-01-10,陕西,西安市,F 批发零售,www.gongxiaodaji.com
szA_000565,重庆三峡油漆股份有限公司,"CHONGQING SANXIA PAINTS CO.,LTD",000565,渝三峡Ａ,1994-04-08,重庆,重庆市,C 制造业,www.sanxia.com
szA_000566,海南海药股份有限公司,"HAINAN HAIYAO CO.,LTD",000566,海南海药,1994-05-25,海南,海口市,C 制造业,www.haiyao.com.cn
szA_000567,海南海德实业股份有限公司,"HAINAN HAIDE INDUSTRY CO.,LTD",000567,海德股份,1994-05-25,海南,海口市,K 房地产,www.000567.com
szA_000568,泸州老窖股份有限公司,"LUZHOU LAO JIAO CO.,LTD",000568,泸州老窖,1994-05-09,四川,泸州市,C 制造业,www.lzlj.com.cn
szA_000570,常柴股份有限公司,"CHANGCHAI COMPANY,LIMITED",000570,苏常柴Ａ,1994-07-01,江苏,常州市,C 制造业,www.changchai.com.cn
szA_000571,新大洲控股股份有限公司,"SUNDIRO HOLDING CO., LTD.",000571,新大洲Ａ,1994-05-25,海南,海口市,B 采矿业,www.sundiro.com
szA_000572,海马汽车集团股份有限公司,"HAIMA AUTOMOBILE GROUP  CO.,LTD",000572,海马汽车,1994-08-08,海南,海口市,C 制造业,www.000572.com
szA_000573,东莞宏远工业区股份有限公司,"DONGGUAN WINNERWAY INDUSTRIAL ZONE CO.,LTD",000573,粤宏远Ａ,1994-08-15,广东,东莞市,K 房地产,www.winnerway.com.cn
szA_000576,江门甘蔗化工厂(集团)股份有限公司,"JIANGMEN SUGAR CANE CHEMICAL FACTORY（GROUP）CO.,LTD",000576,广东甘化,1994-09-07,广东,江门市,C 制造业,www.gdganhua.com
szA_000581,无锡威孚高科技集团股份有限公司,"WEIFU HIGH-TECHNOLOGY GROUP CO.,LTD.",000581,威孚高科,1998-09-24,江苏,无锡市,C 制造业,www.weifu.com.cn
szA_000582,北部湾港股份有限公司,"Beibu Gulf Port Co., Ltd.",000582,北部湾港,1995-11-02,广西,北海市,G 运输仓储,www.bbwport.cn
szA_000584,江苏哈工智能机器人股份有限公司,"JIANGSU HAGONG INTELLIGENT ROBOT CO.,LTD",000584,哈工智能,1995-11-28,江苏,无锡市,C 制造业,www.hgzngroup.com.cn
szA_000585,东北电气发展股份有限公司,NORTHEAST ELECTRIC DEVELOPMENT COMPANY LIMITED,000585,东北电气,1995-12-13,江苏,常州市,C 制造业,www.nee.com.cn;www.nee.hk
szA_000586,四川汇源光通信股份有限公司,"SICHUAN HUIYUAN OPTICAL COMMUNICATIONS CO.,LTD.",000586,汇源通信,1995-12-20,四川,成都市,C 制造业,www.schy.com.cn
szA_000587,金洲慈航集团股份有限公司,"JINZHOU CIHANG GROUP CO., LTD",000587,金洲慈航,1996-04-25,黑龙江,伊春市,C 制造业,www.goldzb.com
szA_000589,贵州轮胎股份有限公司,"GUI ZHOU TYRE CO., LTD",000589,黔轮胎Ａ,1996-03-08,贵州,贵阳市,C 制造业,www.gztire.com
szA_000590,启迪古汉集团股份有限公司,"TUS-GUHAN GROUP CORP., LTD.",000590,启迪古汉,1996-01-19,湖南,衡阳市,C 制造业,www.guhan.com
szA_000591,中节能太阳能股份有限公司,"CECEP Solar Energy Co.,Ltd.",000591,太阳能,1996-02-08,重庆,重庆市,D 水电煤气,www.cecsec.cn
szA_000592,中福海峡（平潭）发展股份有限公司,ZHONGFU STRAITS (PINGTAN) DEVELOPMENT COMPANY LIMITED,000592,平潭发展,1996-03-27,福建,福州市,A 农林牧渔,www.000592.com
szA_000593,四川大通燃气开发股份有限公司,"SICHUAN DATONG GAS DEVELOPMENT CO.,LTD.",000593,大通燃气,1996-03-12,四川,成都市,D 水电煤气,www.dtrq.com
szA_000595,宝塔实业股份有限公司,BAOTA INDUSTRY CO.，LTD.,000595,*ST宝实,1996-04-19,宁夏,银川市,C 制造业,www.nxz.com.cn
szA_000596,安徽古井贡酒股份有限公司,"ANHUI GUJING DISTILLERY CO.,LTD",000596,古井贡酒,1996-09-27,安徽,亳州市,C 制造业,www.gujing.com
szA_000597,东北制药集团股份有限公司,"NORTHEAST PHARMACEUTICAL GROUP CO.,LTD",000597,东北制药,1996-05-23,辽宁,沈阳市,C 制造业,www.nepharm.com.cn
szA_000598,成都市兴蓉环境股份有限公司,"Chengdu Xingrong Environment Co., Ltd.",000598,兴蓉环境,1996-05-29,四川,成都市,D 水电煤气,www.cdxrec.com
szA_000599,青岛双星股份有限公司,"QINGDAO DOUBLESTAR CO,LTD.",000599,青岛双星,1996-04-30,山东,青岛市,C 制造业,www.doublestar.com.cn
szA_000600,河北建投能源投资股份有限公司,"JOINTO ENERGY INVESTMENT CO., LTD. HEBEI",000600,建投能源,1996-06-06,河北,石家庄市,D 水电煤气,www.jei.com.cn
szA_000601,广东韶能集团股份有限公司,"GUANGDONG SHAONENG GROUP CO.,LTD",000601,韶能股份,1996-08-30,广东,韶关市,D 水电煤气,www.shaoneng.com.cn;www.sn0601.com
szA_000603,盛达矿业股份有限公司,"Shengda Mining CO.,LTD",000603,盛达矿业,1996-08-23,北京,北京市,B 采矿业,www.sdjt.com
szA_000605,渤海水业股份有限公司,"BOHAI WATER  INDUSTRY CO.,LTD",000605,渤海股份,1996-09-13,北京,北京市,D 水电煤气,www.bohai-water.com
szA_000606,神州易桥信息服务股份有限公司,"Shenzhou Yiqiao Information Service Co, Ltd",000606,神州易桥,1996-10-04,青海,西宁市,C 制造业,www.eqiao.com.cn
szA_000607,浙江华媒控股股份有限公司,"Zhejiang Huamei Holding CO., LTD.",000607,华媒控股,1996-08-30,浙江,杭州市,R 文化传播,www.000607.cn
szA_000608,阳光新业地产股份有限公司,"YANGGUANG CO.,LTD.",000608,阳光股份,1996-09-19,广西,南宁市,K 房地产,www.yangguangxinye.com
szA_000609,北京绵石投资集团股份有限公司,Beijing Soft Rock Investment Group Corporation,000609,绵石投资,1996-10-10,北京,北京市,S 综合,www.mainstreets.cn
szA_000610,西安旅游股份有限公司,"Xi""an Tourism Co., Ltd.",000610,西安旅游,1996-09-26,陕西,西安市,N 公共环保,www.xatourism.com
szA_000611,内蒙古天首科技发展股份有限公司,"Inner Mongolia TianShou Technology&development, CO.，LTD.",000611,天首发展,1996-10-08,内蒙古,包头市,C 制造业,
szA_000612,焦作万方铝业股份有限公司,"JiaoZuo WanFang Aluminum Manufacturing Co., Ltd",000612,焦作万方,1996-09-26,河南,焦作市,C 制造业,www.jzwfly.cn
szA_000613,海南大东海旅游中心股份有限公司,"HAINAN DADONGHAI TOURISM CENTRE (HOLDINGS) CO.,LTD.",000613,*ST东海A,1997-01-28,海南,三亚市,H 住宿餐饮,
szA_000615,京汉实业投资股份有限公司,"KINGHAND INDUSTRIAL INVESTMENT CO.,LTD",000615,京汉股份,1996-10-16,湖北,襄阳市,K 房地产,www.0615.cn
szA_000616,海航投资集团股份有限公司,"HNA INVESTMENT GROUP CO.,LTD.",000616,海航投资,1996-11-08,辽宁,大连市,K 房地产,www.hnainvestment.com
szA_000617,中国石油集团资本股份有限公司,CNPC Capital Company Limited,000617,中油资本,1996-10-22,新疆,克拉玛依市,J 金融业,www.jichai.com
szA_000619,芜湖海螺型材科技股份有限公司,"WUHU CONCH PROFILES AND SCIENCE CO., LTD",000619,海螺型材,1996-10-23,安徽,芜湖市,C 制造业,profile.conch.cn
szA_000620,新华联文化旅游发展股份有限公司,"MACROLINK CULTURALTAINMENT DEVELOPMENT CO., LTD.",000620,新华联,1996-10-29,北京,北京市,K 房地产,
szA_000622,恒立实业发展集团股份有限公司,"HENGLI INDUSTRIAL DEVELOPMENT GROUP CO.,LTD",000622,恒立实业,1996-11-07,湖南,岳阳市,C 制造业,www.yyhengli.com
szA_000623,吉林敖东药业集团股份有限公司,"Jilin Aodong Pharmaceutical Group Co., Ltd.",000623,吉林敖东,1996-10-28,吉林,延边朝鲜族自治州,C 制造业,www.jlaod.com
szA_000625,重庆长安汽车股份有限公司,Chongqing Changan Automobile Company Limited,000625,长安汽车,1997-06-10,重庆,重庆市,C 制造业,www.changan.com.cn
szA_000626,远大产业控股股份有限公司,"Grand Industrial Holding Co., Ltd",000626,远大控股,1996-11-28,江苏,连云港市,F 批发零售,www.grand-holding.cn
szA_000627,天茂实业集团股份有限公司,"HUBEI BIOCAUSE PHARMACEUTICAL CO.,LTD",000627,天茂集团,1996-11-12,湖北,荆门市,J 金融业,www.biocause.com
szA_000628,成都高新发展股份有限公司,"CHENGDU Hi-Tech DEVELOPMENT GR0UP CO.,LTD",000628,高新发展,1996-11-18,四川,成都市,E 建筑业,www.cdgxfz.com
szA_000629,攀钢集团钒钛资源股份有限公司,"Pangang Group Vanadium Titanium & Resources Co., Ltd.",000629,*ST钒钛,1996-11-15,四川,攀枝花市,B 采矿业,www.pzhsteel.com.cn/pgvt/
szA_000630,铜陵有色金属集团股份有限公司,"Tongling Nonferrous Metals Group Co.,Ltd.",000630,铜陵有色,1996-11-20,安徽,铜陵市,C 制造业,www.tlys.cn
szA_000631,顺发恒业股份公司,SHUNFA HENGYE Corporation,000631,顺发恒业,1996-11-22,吉林,长春市,K 房地产,www.sfhy.cn
szA_000632,福建三木集团股份有限公司,"FUJIAN SANMU GROUP CO.,LTD",000632,三木集团,1996-11-21,福建,福州市,F 批发零售,www.san-mu.com
szA_000633,沈阳合金投资股份有限公司,"SHENYANG HEJIN HOLDING CO., LTD",000633,合金投资,1996-11-12,新疆,和田地区,C 制造业,www.hjinv.com
szA_000635,宁夏英力特化工股份有限公司,"NINGXIA YINGLITE CHEMICALS CO.,LTD",000635,英 力 特,1996-11-20,宁夏,石嘴山市,C 制造业,www.yinglitechem.com
szA_000636,广东风华高新科技股份有限公司,"GUANDDONG FENGHUA ADVANCED TECHNOLOGY (HOLDING) CO., LTD",000636,风华高科,1996-11-29,广东,肇庆市,C 制造业,www.fenghua-advanced.com
szA_000637,茂名石化实华股份有限公司,"MAOMING PETRO-CHEMICAL SHIHUA CO.,LTD",000637,茂化实华,1996-11-14,广东,茂名市,C 制造业,www.mhsh0637.com.cn
szA_000638,万方城镇投资发展股份有限公司,"Vanfund Urban Investment＆Development Co.,Ltd.",000638,万方发展,1996-11-26,辽宁,沈阳市,F 批发零售,www.vanfund.cn
szA_000639,西王食品股份有限公司,"Xiwang Foodstuffs Co.,Ltd.",000639,西王食品,1996-11-26,山东,滨州市,C 制造业,www.xwsp.cc
szA_000650,仁和药业股份有限公司,"RENHE PHARMACY CO.,LTD",000650,仁和药业,1996-12-10,江西,南昌市,C 制造业,www.renheyaoye.com
szA_000651,珠海格力电器股份有限公司,"GREE ELECTRIC APPLIANCES,INC.OF ZHUHAI CO.,LTD",000651,格力电器,1996-11-18,广东,珠海市,C 制造业,www.gree.com.cn
szA_000652,天津泰达股份有限公司,"Tianjin TEDA CO., Ltd.",000652,泰达股份,1996-11-28,天津,天津市,F 批发零售,www.tedastock.com
szA_000655,山东金岭矿业股份有限公司,"SHANDONG JINLING MINING CO.,LTD",000655,金岭矿业,1996-11-28,山东,淄博市,B 采矿业,www.sdjlky.com
szA_000656,金科地产集团股份有限公司,"JINKE PROPERTY GROUP CO., LTD",000656,金科股份,1996-11-28,重庆,重庆市,K 房地产,
szA_000657,中钨高新材料股份有限公司,"CHINA TUNGSTEN AND HIGHTECH MATERALS CO.,LTD",000657,中钨高新,1996-12-05,海南,海口市,C 制造业,
szA_000659,珠海中富实业股份有限公司,"ZHUHAI ZHONGFU ENTERPRISE CO.,LTD",000659,*ST中富,1996-12-03,广东,珠海市,C 制造业,www.zhongfu.com.cn
szA_000661,长春高新技术产业（集团）股份有限公司,Changchun High & New Technology Industry (Group) Inc.,000661,长春高新,1996-12-18,吉林,长春市,C 制造业,www.cchn.com.cn
szA_000662,天夏智慧城市科技股份有限公司,TEAMAX SMART CITY TECHNOLOGY CORPORATION LIMITED,000662,天夏智慧,1996-12-16,广西,梧州市,I 信息技术,www.txgis.com
szA_000663,福建省永安林业(集团)股份有限公司,"FUJIAN YONGAN FORESTRY (GROUP) JOINT-STOCK CO.,LTD",000663,永安林业,1996-12-06,福建,三明市,C 制造业,www.yonglin.com
szA_000665,湖北省广播电视信息网络股份有限公司,"Hubei Radio & Television Information Network Co., Ltd.",000665,湖北广电,1996-12-10,湖北,武汉市,R 文化传播,www.hrtn.net
szA_000666,经纬纺织机械股份有限公司,"JINGWEI TEXTILE MACHINERY CO.,LTD.",000666,经纬纺机,1996-12-10,北京,北京市,C 制造业,www.jwgf.com
szA_000667,美好置业集团股份有限公司,"Myhome Real Estate Development Group CO.,LTD.",000667,美好置业,1996-12-05,云南,昆明市,K 房地产,www.000667.com
szA_000668,荣丰控股集团股份有限公司,RONGFENG HOLDING GROUP CO.，LTD,000668,荣丰控股,1996-12-10,上海,上海市,K 房地产,www.rfholding.cn
szA_000669,金鸿控股集团股份有限公司,"Jinhong Holding Group Co., Ltd.",000669,金鸿控股,1996-12-10,吉林,吉林市,D 水电煤气,www.000669.com
szA_000670,盈方微电子股份有限公司,"Infotmic  co.,ltd.",000670,盈方微,1996-12-17,湖北,荆州市,C 制造业,www.infotm.com
szA_000671,阳光城集团股份有限公司,"Yango Group Co., Ltd",000671,阳 光 城,1996-12-18,福建,福州市,K 房地产,www.yango.com.cn
szA_000672,甘肃上峰水泥股份有限公司,"GANSU SHANGFENG CEMENT CO., LTD",000672,上峰水泥,1996-12-18,甘肃,白银市,C 制造业,www.sfsn.cn
szA_000673,当代东方投资股份有限公司,"Lead Eastern Investment Co.,Ltd",000673,当代东方,1997-01-24,山西,大同市,R 文化传播,www.sz000673.com
szA_000676,智度科技股份有限公司,"Genimous Technology CO.,LTD",000676,智度股份,1996-12-24,河南,郑州市,I 信息技术,www.genimous.com
szA_000677,恒天海龙股份有限公司,"CHTC HELON CO.,LTD.",000677,恒天海龙,1996-12-26,山东,潍坊市,C 制造业,www.helon.cn
