,公司全称,英文名称,A股代码,A股简称,A股上市日期,省    份,城     市,所属行业,公司网址
szA_000678,襄阳汽车轴承股份有限公司,"XIANGYANG AUTOMOBILE BEARING Co., Ltd",000678,襄阳轴承,1997-01-06,湖北,襄阳市,C 制造业,www.zxy.com.cn
szA_000679,大连友谊(集团)股份有限公司,"DALIAN FRIENDSHIP (Group)Co.,Ltd.",000679,大连友谊,1997-01-24,辽宁,大连市,F 批发零售,www.dlyy.com.cn
szA_000680,山推工程机械股份有限公司,"SHANTUI CONSTRUCTION MACHINERY CO.,LTD",000680,山推股份,1997-01-22,山东,济宁市,C 制造业,www.shantui.com
szA_000681,视觉（中国）文化发展股份有限公司,"VISUAL CHINA GROUP CO.,LTD.",000681,视觉中国,1997-01-21,江苏,常州市,R 文化传播,www.chinafareast.com
szA_000682,东方电子股份有限公司,"Dongfang Electronics Co.,Ltd",000682,东方电子,1997-01-21,山东,烟台市,C 制造业,www.dongfangelec.com
szA_000683,内蒙古远兴能源股份有限公司,INNER MONGOLIA YUAN XING ENERGY COMPANY LIMITED,000683,远兴能源,1997-01-31,内蒙古,鄂尔多斯市,C 制造业,www.yuanxing.com
szA_000685,中山公用事业集团股份有限公司,"ZHONGSHAN PUBLIC UTILITIES Group CO.,LTD.",000685,中山公用,1997-01-23,广东,中山市,D 水电煤气,www.zpug.net
szA_000686,东北证券股份有限公司,"NORTHEAST SECURITIES CO.,LTD.",000686,东北证券,1997-02-27,吉林,长春市,J 金融业,www.nesc.cn
szA_000687,华讯方舟股份有限公司,"Huaxun Fangzhou Co.,Ltd",000687,华讯方舟,1997-02-21,河北,保定市,C 制造业,www.huaxunchina.com.cn
szA_000688,建新矿业股份有限责任公司,"Jianxin Mining Co.,LTD",000688,建新矿业,1997-01-20,重庆,重庆市,B 采矿业,www.jianxin0688.com
szA_000690,广东宝丽华新能源股份有限公司,"GUANGDONG  BAOLIHUA  NEW  ENERGY  STOCK  CO., LTD.",000690,宝新能源,1997-01-28,广东,梅州市,D 水电煤气,www.baolihua.com.cn
szA_000691,海南亚太实业发展股份有限公司,HAINAN YATAI INDUSTRIAL DEVELOPMENT  CO.，LTD.,000691,ST亚太,1997-02-28,甘肃,兰州市,K 房地产,www.ytsy000691.com
szA_000692,沈阳惠天热电股份有限公司,"SHENYANG HUITIAN THERMAL POWER CO.,LTD",000692,惠天热电,1997-02-27,辽宁,沈阳市,D 水电煤气,www.htrd.cn
szA_000693,成都华泽钴镍材料股份有限公司,"CHENGDU HUAZE COBALT&NICKEL MATERIAL CO., LTD",000693,*ST华泽,1997-02-26,四川,成都市,B 采矿业,www.ufg.com.cn
szA_000695,天津滨海能源发展股份有限公司,"TIANJIN BINHAI ENERGY & DEVELOPMENT CO.,LTD",000695,滨海能源,1997-02-18,天津,天津市,D 水电煤气,www.binhaienergy.com
szA_000697,陕西炼石有色资源股份有限公司,"Shaanxi Ligeance Mineral Resources Co.,Ltd.",000697,炼石有色,1997-03-25,陕西,咸阳市,C 制造业,www.lsmin.com
szA_000698,沈阳化工股份有限公司,"SHENYANG CHEMICAL INDUSTRY CO.,LTD",000698,沈阳化工,1997-02-20,辽宁,沈阳市,C 制造业,www.sychem.com
szA_000700,江南模塑科技股份有限公司,"JIANGNAN MOULD & PLASTIC TECHNOLOGY CO.,LTD",000700,模塑科技,1997-02-28,江苏,无锡市,C 制造业,www.jnmpt.com
szA_000701,厦门信达股份有限公司,XIAMEN XINDECO LTD.,000701,厦门信达,1997-02-26,福建,厦门市,F 批发零售,www.xindeco.com
szA_000702,湖南正虹科技发展股份有限公司,"Hunan Zhenghong Science and Technology Develop Co., Ltd",000702,正虹科技,1997-03-18,湖南,岳阳市,C 制造业,www.chinazhjt.com.cn
szA_000703,恒逸石化股份有限公司,"HENGYI PETROCHEMICAL CO., LTD",000703,恒逸石化,1997-03-28,广西,北海市,C 制造业,www.hengyishihua.com
szA_000705,浙江震元股份有限公司,"ZHEJIANG ZHENYUAN SHARE CO.,LTD.",000705,浙江震元,1997-04-10,浙江,绍兴市,F 批发零售,www.zjzy.com
szA_000707,湖北双环科技股份有限公司,"HUBEI SHUANGHUAN SCIENCE AND TECHNOLOGYSTOCK CO.,LTD",000707,双环科技,1997-04-15,湖北,孝感市,C 制造业,www.hbshkj.cn
szA_000708,大冶特殊钢股份有限公司,"DAYE SPECIAL STEEL CO .,LTD",000708,大冶特钢,1997-03-26,湖北,黄石市,C 制造业,www.dayesteel.com.cn
szA_000709,河钢股份有限公司,HESTEEL COMPANY LIMITED,000709,河钢股份,1997-04-16,河北,石家庄市,C 制造业,www.hebgtgf.com
szA_000710,成都市贝瑞和康基因技术股份有限公司,"Berry Genomics Co.,Ltd",000710,贝瑞基因,1997-04-22,四川,成都市,C 制造业,www.txyb.com.cn
szA_000711,京蓝科技股份有限公司,"Kingland Technology Co.,Ltd.",000711,京蓝科技,1997-04-11,黑龙江,哈尔滨市,A 农林牧渔,www.kinglandgroup.com
szA_000712,广东锦龙发展股份有限公司,GUANGDONG GOLDEN DRAGON DEVELOPMENT INC.,000712,锦龙股份,1997-04-15,广东,东莞市,J 金融业,www.jlgf.com
szA_000713,合肥丰乐种业股份有限公司,"HEFEI FENGLE SEED CO.,LTD.",000713,丰乐种业,1997-04-22,安徽,合肥市,A 农林牧渔,www.fengle.com.cn
szA_000715,中兴-沈阳商业大厦(集团)股份有限公司,"ZHONGXING SHENYANG COMMERCIAL BUILDING GROUP CO.,LTD",000715,中兴商业,1997-05-08,辽宁,沈阳市,F 批发零售,www.zxbusiness.com
szA_000716,南方黑芝麻集团股份有限公司,NANFANG BLACK SESAME GR0UP CO.，LTD,000716,黑芝麻,1997-04-18,广西,南宁市,C 制造业,www.nanfangfood.com
szA_000717,广东韶钢松山股份有限公司,"SGIS Songshan Co., Ltd.",000717,韶钢松山,1997-05-08,广东,韶关市,C 制造业,www.sgss.com.cn
szA_000718,苏宁环球股份有限公司,"Suning Universal Co.,Ltd.",000718,苏宁环球,1997-04-08,吉林,吉林市,K 房地产,www.suning-universal.com
szA_000719,中原大地传媒股份有限公司,"Central China Land Media CO.,LTD",000719,大地传媒,1997-03-31,河南,焦作市,R 文化传播,
szA_000720,山东新能泰山发电股份有限公司,"SHANDONG XINNENG TAISHAN POWER GENERATION CO.,LTD.",000720,新能泰山,1997-05-09,山东,泰安市,D 水电煤气,www.sz000720.com
szA_000721,西安饮食股份有限公司,"Xi""AN  CATERING  CO., LTD.",000721,西安饮食,1997-04-30,陕西,西安市,H 住宿餐饮,www.xcsg.com
szA_000722,湖南发展集团股份有限公司,"HUNAN DEVELOPMENT GROUP CO.,LTD",000722,湖南发展,1997-05-22,湖南,衡阳市,D 水电煤气,www.hnfzgf.com
szA_000723,山西美锦能源股份有限公司,SHANXI MEIJIN ENERGY CO.，LTD,000723,美锦能源,1997-05-15,山西,太原市,C 制造业,www.mjenergy.com
szA_000725,京东方科技集团股份有限公司,"BOE TECHNOLOGY GROUP CO., LTD",000725,京东方Ａ,2001-01-12,北京,北京市,C 制造业,www.boe.com.cn
szA_000726,鲁泰纺织股份有限公司,"LU THAI TEXTILE CO., LTD",000726,鲁  泰Ａ,2000-12-25,山东,淄博市,C 制造业,www.lttc.com.cn
szA_000727,南京华东电子信息科技股份有限公司,"NANJING HUADONG ELECTRONICS INFORMATION & TECHNOLOGY CO.,LTD",000727,华东科技,1997-05-20,江苏,南京市,C 制造业,www.huadongtech.com
szA_000728,国元证券股份有限公司,GUOYUAN SECURITIES COMPANY LIMITED,000728,国元证券,1997-06-16,安徽,合肥市,J 金融业,www.gyzq.com.cn
szA_000729,北京燕京啤酒股份有限公司,"BEIJING YANJING BREWERY CO.,LTD",000729,燕京啤酒,1997-07-16,北京,北京市,C 制造业,www.yanjing.com.cn
szA_000731,四川美丰化工股份有限公司,"SICHUAN MEIFENG CHEMICAL INDUSTRY CO., LTD",000731,四川美丰,1997-06-17,四川,遂宁市,C 制造业,www.scmeif.com
szA_000732,泰禾集团股份有限公司,"THAIHOT GROUP CO.,LTD",000732,泰禾集团,1997-07-04,福建,三明市,K 房地产,www.thaihot.com.cn
szA_000733,中国振华(集团)科技股份有限公司,"CHINA ZHENHUA(GROUP) SCIENCE& TECHNOLOGY CO.,LTD",000733,振华科技,1997-07-03,贵州,贵阳市,C 制造业,www.czst.com.cn
szA_000735,罗牛山股份有限公司,"Luoniushan Co., Ltd.",000735,罗 牛 山,1997-06-11,海南,海口市,A 农林牧渔,www.luoniushan.com
szA_000736,中房地产股份有限公司,China Real Estate Corperation Limited,000736,中房地产,1997-04-25,重庆,重庆市,K 房地产,www.china-propertyholding.com/inde/index.asp
szA_000737,南风化工集团股份有限公司,"NAFINE CHEMICAL INDUSTRY GROUP CO.,LTD",000737,南风化工,1997-04-28,山西,运城市,C 制造业,www.nafine.com
szA_000738,中国航发动力控制股份有限公司,"AECC AERO-ENGINE CONTROL CO.,LTD.",000738,航发控制,1997-06-26,江苏,无锡市,C 制造业,www.aaec.com.cn
szA_000739,普洛药业股份有限公司,"Apeloa Pharmaceutical Co.,Ltd.",000739,普洛药业,1997-05-09,浙江,金华市,C 制造业,www.apeloa.com
szA_000750,国海证券股份有限公司,"SEALAND SECURITIES CO., LTD.",000750,国海证券,1997-07-09,广西,桂林市,J 金融业,www.ghzq.com.cn
szA_000751,葫芦岛锌业股份有限公司,"HULUDAO ZINC INDUSTRY CO.,LTD",000751,锌业股份,1997-06-26,辽宁,葫芦岛市,C 制造业,www.hldxygf.com
szA_000752,西藏银河科技发展股份有限公司,"TIBET GALAXY SCIENCE & TECHNOLOGY DEVELOPMENT CO.,LTD",000752,西藏发展,1997-06-25,西藏,拉萨市,C 制造业,
szA_000753,福建漳州发展股份有限公司,"Fujian Zhangzhou Development Co.,Ltd",000753,漳州发展,1997-06-26,福建,漳州市,F 批发零售,www.zzdc.com.cn
szA_000755,山西三维集团股份有限公司,"SHANXI SANWEI GROUP CO.,LTD",000755,*ST三维,1997-06-27,山西,临汾市,C 制造业,www.sxsanwei.com
szA_000756,山东新华制药股份有限公司,SHANDONG XINHUA PHARMACEUTICAL COMPANY LIMITED,000756,新华制药,1997-08-06,山东,淄博市,C 制造业,www.xhzy.com
szA_000757,四川浩物机电股份有限公司,"SICHUAN HAOWU ELECTROMECHANICAL CO.,LTD.",000757,浩物股份,1997-06-27,四川,内江市,C 制造业,www.hwgf757.com
szA_000758,中国有色金属建设股份有限公司,"China Nonferrous Metal Industry""s Foreign Engineering and Construction Co., Ltd.",000758,中色股份,1997-04-16,北京,北京市,B 采矿业,www.nfc.com.cn
szA_000759,中百控股集团股份有限公司,"ZHONGBAI HOLDINGS GROUP CO.,LTD.",000759,中百集团,1997-05-19,湖北,武汉市,F 批发零售,www.whzb.com
szA_000760,斯太尔动力股份有限公司,Steyr Motors corp.,000760,斯太尔,1997-06-27,湖北,荆州市,C 制造业,www.hbbothwin.cn
szA_000761,本钢板材股份有限公司,"BENGANG STEEL PLATES CO.,LTD",000761,本钢板材,1998-01-15,辽宁,本溪市,C 制造业,
szA_000762,西藏矿业发展股份有限公司,"TIBET MINERAL DEVELOPMENT CO.,LTD",000762,西藏矿业,1997-07-08,西藏,拉萨市,B 采矿业,
szA_000766,通化金马药业集团股份有限公司,"TONGHUA GOLDEN-HORSE PHARMACEUTICAL INDUSTRY CO,LTD",000766,通化金马,1997-04-30,吉林,通化市,C 制造业,www.thjm.cn
szA_000767,山西漳泽电力股份有限公司,"SHANXI ZHANGZE ELECTRIC POWER CO.,LTD",000767,漳泽电力,1997-06-09,山西,太原市,D 水电煤气,www.zhangzepower.com
szA_000768,中航飞机股份有限公司,"AVIC AIRCRAFT Co.,Ltd.",000768,中航飞机,1997-06-26,陕西,西安市,C 制造业,www.aircraft_co.avic.com
szA_000776,广发证券股份有限公司,"GF SECURITIES CO.,LTD",000776,广发证券,1997-06-11,广东,广州市,J 金融业,www.gf.com.cn
szA_000777,中核苏阀科技实业股份有限公司,"SUFA Technology Industry Co.,Ltd.,CNNC.",000777,中核科技,1997-07-10,江苏,苏州市,C 制造业,www.chinasufa.com
szA_000778,新兴铸管股份有限公司,"XINXING DUCTILE IRON PIPES CO., LTD",000778,新兴铸管,1997-06-06,河北,邯郸市,C 制造业,www.xinxing-pipes.com
szA_000779,兰州三毛实业股份有限公司,"LANZHOU SANMAO INDUSTRIAL CO.,LTD",000779,三毛派神,1997-05-28,甘肃,兰州市,C 制造业,www.chinapaishen.com
szA_000780,内蒙古平庄能源股份有限公司,"Inner Mongolia PingZhuang Energy Resources CO.,LTD",000780,*ST平能,1997-06-06,内蒙古,赤峰市,B 采矿业,www.nmgpzny.com
szA_000782,广东新会美达锦纶股份有限公司,"GUANGDONG XINHUI MEIDA NYLON CO., LTD",000782,美达股份,1997-06-19,广东,江门市,C 制造业,www.meidanylon.com
szA_000783,长江证券股份有限公司,"Changjiang Securities Co., LTD",000783,长江证券,1997-07-31,湖北,武汉市,J 金融业,www.cjsc.com
szA_000785,武汉中商集团股份有限公司,"WUHAN ZHONGNAN COMMERCIAL GROUP CO.,LTD",000785,武汉中商,1997-07-11,湖北,武汉市,F 批发零售,www.zhongshang.com.cn
szA_000786,北新集团建材股份有限公司,BEIJING NEW BUILDING MATERIALS PUBLIC LIMITED COMPANY,000786,北新建材,1997-06-06,北京,北京市,C 制造业,www.bnbm.com.cn
szA_000788,北大医药股份有限公司,"PKU HealthCare Corp., Ltd.",000788,北大医药,1997-06-16,重庆,重庆市,C 制造业,www.pku-hc.com
szA_000789,江西万年青水泥股份有限公司,"JIANGXI WANNIANQING CEMENT CO.,LTD",000789,万年青,1997-09-23,江西,上饶市,C 制造业,www.wnq.com.cn
szA_000790,成都泰合健康科技集团股份有限公司,"Chengdu Taihe health technology group Inc.,Ltd",000790,泰合健康,1998-03-27,四川,成都市,C 制造业,www.huasungrp.com
szA_000791,甘肃电投能源发展股份有限公司,GEPIC Energy Development Co.， Ltd.,000791,甘肃电投,1997-10-14,甘肃,兰州市,D 水电煤气,www.yoxin.net
szA_000792,青海盐湖工业股份有限公司,"Qinghai Salt Lake Industry Co., Ltd.",000792,盐湖股份,1997-09-04,青海,海西蒙古族藏族自治州,C 制造业,www.qhyhgf.com
szA_000793,华闻传媒投资集团股份有限公司,China Media Group,000793,华闻传媒,1997-07-29,海南,海口市,R 文化传播,www.000793.com
szA_000795,英洛华科技股份有限公司,"INNUOVO TECHNOLOGY CO.,LTD.",000795,英洛华,1997-08-08,山西,太原市,C 制造业,www.twin-tower.com
szA_000796,海航凯撒旅游集团股份有限公司,"HNA-CAISSA　TRAVEL　GROUP　CO.,LTD.",000796,凯撒旅游,1997-07-03,陕西,宝鸡市,L 商务服务,www.yijituan.com
szA_000797,中国武夷实业股份有限公司,"CHINA WUYI CO.,LTD",000797,中国武夷,1997-07-15,福建,福州市,K 房地产,www.chinawuyi.com.cn
szA_000798,中水集团远洋股份有限公司,"CNFC OVERSEAS FISHERIES CO.,LTD",000798,中水渔业,1998-02-12,北京,北京市,A 农林牧渔,www.cofc.com.cn
szA_000799,酒鬼酒股份有限公司,"JIUGUI LIQUOR CO., LTD.",000799,酒鬼酒,1997-07-18,湖南,湘西土家族苗族自治州,C 制造业,www.jiuguijiu000799.com
szA_000800,一汽轿车股份有限公司,"FAW CAR CO.,LTD",000800,一汽轿车,1997-06-18,吉林,长春市,C 制造业,www.fawcar.com.cn
szA_000801,四川九洲电器股份有限公司,"SICHUAN JIUZHOU ELECTRONIC CO., LTD",000801,四川九洲,1998-05-06,四川,绵阳市,C 制造业,www.jiuzhoutech.com
szA_000802,北京京西文化旅游股份有限公司,"BEIJING JINGXI CULTURE&TOURISM CO.,LTD",000802,北京文化,1998-01-08,北京,北京市,R 文化传播,www.bjwhmedia.com
szA_000803,四川金宇汽车城(集团)股份有限公司,SICHUAN　JINYU  AUTOMOBILE　CITY（GROUP）CO.，LTD,000803,*ST金宇,1998-03-03,四川,南充市,C 制造业,www.scjycc.com
szA_000806,北海银河生物产业投资股份有限公司,"Galaxy Biomedical Investment Co.,Ltd.",000806,银河生物,1998-04-16,广西,北海市,C 制造业,www.g-biomed.com
szA_000807,云南铝业股份有限公司,"YUNNAN ALUMINIUM CO.,LTD",000807,云铝股份,1998-04-08,云南,昆明市,C 制造业,www.ylgf.com
szA_000809,铁岭新城投资控股股份有限公司,TIELING NEWCITY INVESTMENT HOLDING LIMITED,000809,*ST新城,1998-06-16,辽宁,铁岭市,N 公共环保,www.cdzhonghui.com
szA_000810,创维数字股份有限公司,"SKYWORTH DIGITAL CO.,LTD.",000810,创维数字,1998-06-02,四川,遂宁市,C 制造业,www.skyworthdigital.com
szA_000811,烟台冰轮股份有限公司,"YANTAI MOON CO ., LTD",000811,烟台冰轮,1998-05-28,山东,烟台市,C 制造业,www.yantaimoon.cn
szA_000812,陕西金叶科教集团股份有限公司,"SHAANXI JINYE SCIENCE TECHNOLOGY AND EDUCATION GROUP CO.,LTD",000812,陕西金叶,1998-06-23,陕西,西安市,C 制造业,www.jinyegroup.cn
szA_000813,德展大健康股份有限公司,Dezhan Healthcare Company Limited,000813,德展健康,1998-05-19,新疆,乌鲁木齐市,C 制造业,www.chinatianshan.com
szA_000815,中冶美利云产业投资股份有限公司,"MCC MEILI CLOUD COMPUTING INDUSTRY INVESTMENT CO., LTD",000815,美利云,1998-06-09,宁夏,银川市,C 制造业,www.china-meili.com
szA_000816,江苏农华智慧农业科技股份有限公司,"JIANGSU NONGHUA  INTELLIGENT  AGRICULTURE  TECHNOLOGY  CO.,LTD.",000816,智慧农业,1997-08-18,江苏,盐城市,C 制造业,www.jd.dongyin.com
szA_000818,方大锦化化工科技股份有限公司,"FANGDA JINHUA CHEMICAL TECHNOLOGY CO.,LTD",000818,方大化工,1997-10-17,辽宁,葫芦岛市,C 制造业,www.fangdachemical.com
szA_000819,岳阳兴长石化股份有限公司,YUEYANG XINGCHANG PETRO-CHEMICAL CO.，LTD.,000819,岳阳兴长,1997-06-25,湖南,岳阳市,C 制造业,www.yyxc0819.com
szA_000820,神雾节能股份有限公司,"Shenwu Energy Saving Co., Ltd.",000820,神雾节能,1998-06-30,辽宁,锦州市,C 制造业,www.sw-es.cn
szA_000821,湖北京山轻工机械股份有限公司,"J.S. Corrugating Machinery Co., Ltd",000821,京山轻机,1998-06-26,湖北,荆门市,C 制造业,www.jspackmach.com
szA_000822,山东海化股份有限公司,"SHANDONG HAIHUA CO.,LTD",000822,山东海化,1998-07-03,山东,潍坊市,C 制造业,www.chinahaihua.com
szA_000823,广东汕头超声电子股份有限公司,"GUANGDONG GOWORLD CO., LTD",000823,超声电子,1997-10-08,广东,汕头市,C 制造业,www.gd-goworld.com
szA_000825,山西太钢不锈钢股份有限公司,SHANXI TAIGANG STAINLESS STEEL CO.LTD,000825,太钢不锈,1998-10-21,山西,太原市,C 制造业,www.tisco.com.cn
szA_000826,启迪桑德环境资源股份有限公司,"TUS-SOUND ENVIRONMENTAL RESOURCES CO., LTD.",000826,启迪桑德,1998-02-25,湖北,宜昌市,N 公共环保,www.soundenvironmental.cn
szA_000828,东莞发展控股股份有限公司,"DONGGUAN DEVELOPMENT (HOLDINGS) CO., LTD",000828,东莞控股,1997-06-17,广东,东莞市,G 运输仓储,www.dgholdings.cn
szA_000829,天音通信控股股份有限公司,"Telling  Telecommunication  Holding  Co.,Ltd.",000829,天音控股,1997-12-02,江西,赣州市,F 批发零售,www.chinatelling.com
szA_000830,鲁西化工集团股份有限公司,"Luxi  Chemical Group Co.,Ltd.",000830,鲁西化工,1998-08-07,山东,聊城市,C 制造业,www.luxichemical.com
szA_000831,五矿稀土股份有限公司,"CHINA MINMETALS RARE EARTH CO.,LTD.",000831,五矿稀土,1998-09-11,山西,运城市,C 制造业,www.cmreltd.com
szA_000833,广西贵糖（集团）股份有限公司,"GUANGXI GUITANG (GROUP) CO., LTD.",000833,贵糖股份,1998-11-11,广西,贵港市,C 制造业,www.Guitang.com
szA_000835,长城国际动漫游戏股份有限公司,"Great Wall International ACG Co., Ltd.",000835,长城动漫,1999-06-25,四川,成都市,I 信息技术,www.000835.com
szA_000836,天津鑫茂科技股份有限公司,"TIANJIN XINMAO SCIENCE&TECHNOLOGY CO.,LTD",000836,鑫茂科技,1997-09-29,天津,天津市,C 制造业,www.xinmaokeji.com.cn
szA_000837,秦川机床工具集团股份公司,"Qinchuan Machine Tool & Tool Group Share Co., Ltd",000837,秦川机床,1998-09-28,陕西,宝鸡市,C 制造业,www.qcde.cn
